"Incorrect value for Product Category field.","Incorrect value for Product Category field."
"Incorrect value for Country field.","Incorrect value for Country field."
"Incorrect value for Last Name field.","Incorrect value for Last Name field."
"Incorrect value for First Name field.","Incorrect value for First Name field."
"Incorrect value for Phone Number field.","Incorrect value for Phone Number field."
"Incorrect value for Email field.","Incorrect value for Email field."
"Could not register an account. Please, check the form was filled out correctly.","Could not register an account. Please, check the form was filled out correctly."
"Account already exists. Please, authorize.","Account already exists. Please, authorize."
"Account successfully registered.","Account successfully registered."
"Incorrect value for API Key.","Incorrect value for API Key."
"Incorrect value for API Secret.","Incorrect value for API Secret."
"Incorrect value for Product Category.","Incorrect value for Product Category."
"Could not create a store.","Could not create a store."
"Store successfully created.","Store successfully created."
"Incorrect value for Secret Key field.","Incorrect value for Secret Key field."
"Incorrect value for Store Key field.","Incorrect value for Store Key field."
"Could not export product feed.","Could not export product feed."
"Product feed successfully exported to REES46.","Product feed successfully exported to REES46."
"Could not export orders.","Could not export orders."
"%s out of %s orders successfully exported to REES46.","%s out of %s orders successfully exported to REES46."
"%s orders successfully exported to REES46.","%s orders successfully exported to REES46."
"No available orders for export.","No available orders for export."
"Could not export customers.","Could not export customers."
"%s out of %s customers successfully exported to REES46.","%s out of %s customers successfully exported to REES46."
"%s customers successfully exported to REES46.","%s customers successfully exported to REES46."
"No available customers for export.","No available customers for export."
"%s successfully loaded.","%s successfully loaded."
"Could not load %s.","Could not load %s."
"You May Also Like","You May Also Like"
"Frequently Bought Together","Frequently Bought Together"
"Similar Products","Similar Products"
"Popular Products","Popular Products"
"Recommended For You","Recommended For You"
"You Recently Viewed","You Recently Viewed"
"Trending Products","Trending Products"
"Customers Who Looked For This Item Also Bought","Customers Who Looked For This Item Also Bought"
"Regular Purchase","Regular Purchase"
Name,Name
Status,Status
"Export XML Product Feed","Export XML Product Feed"
Enabled,Enabled
Disabled,Disabled
Repeat,Repeat
"Export Orders","Export Orders"
"Export Customers","Export Customers"
"Load manifest.json","Load manifest.json"
"Load push_sw.js","Load push_sw.js"
Authorize,Authorize
Register,Register
"Go to your REES46 store dashboard to get the access to:","Go to your REES46 store dashboard to get the access to:"
"Triggered emails","Triggered emails"
"Email marketing tool","Email marketing tool"
"Personalized search","Personalized search"
"Web push triggered notifications","Web push triggered notifications"
"Instant web push notifications","Instant web push notifications"
"Audience segmentation","Audience segmentation"
"Abandoned cart remarketing tool","Abandoned cart remarketing tool"
"REES46 dashboard","REES46 dashboard"
Documentation:,Documentation:
http://docs.rees46.com/display/en/Magento+2+Module,http://docs.rees46.com/display/en/Magento+2+Module
Send,Send
More,More
"Add to Cart","Add to Cart"
"In stock","In stock"
"Out of stock","Out of stock"
"Add to Wish List","Add to Wish List"
"Add to Compare","Add to Compare"
REES46,REES46
Settings,Settings
"Authorization Form","Authorization Form"
"To authorize, please log in on rees46.com and copy & paste Store Key and Secret Key from Store Settings (Dashboard > Settings > Store Settings) to the fields below.","To authorize, please log in on rees46.com and copy & paste Store Key and Secret Key from Store Settings (Dashboard > Settings > Store Settings) to the fields below."
"Store Key","Store Key"
"Secret Key","Secret Key"
"Registration Form","Registration Form"
"To register, please fill out the form below. Authorization, in this case, is performed automatically.","To register, please fill out the form below. Authorization, in this case, is performed automatically."
Email,Email
"Phone Number","Phone Number"
"First Name","First Name"
"Last Name","Last Name"
Country,Country
"Product Category","Product Category"
General,General
"Created Order Status","Created Order Status"
"Completed Order Status","Completed Order Status"
"Cancelled Order Status","Cancelled Order Status"
"Cron XML","Cron XML"
Logging,Logging
"Product Recommendations Blocks","Product Recommendations Blocks"
Actions,Actions
"REES46 Recommendations","REES46 Recommendations"
"REES46 Product Recommendations Block","REES46 Product Recommendations Block"
"Block Type","Block Type"
"Block Title","Block Title"
"Products Limit","Products Limit"
"Recommendation Block Template","Recommendation Block Template"
"Default Template","Default Template"
"REES46 Basic Template","REES46 Basic Template"
"Products Grid Template","Products Grid Template"
"New Products Grid Template","New Products Grid Template"
"New Products List Template","New Products List Template"
"New Products Images and Names Template","New Products Images and Names Template"
"New Products Names Only Template","New Products Names Only Template"
"New Products Images Only Template","New Products Images Only Template"
"Show Only Special Offers","Show Only Special Offers"
"Show Only Products of Following Brands","Show Only Products of Following Brands"
"Exclude Products of Following Brands","Exclude Products of Following Brands"
